Date,IT Department,Cost Element,Country,Actual
1/05/2020,Administration,Employee Performance,USA,"14,265"
1/05/2020,Administration,External Labor,United Kingdom,"4,385"
1/05/2020,Administration,External Labor,USA,"13,056"
1/05/2020,Administration,Hardware,USA,66
1/05/2020,Administration,Internal Labor,Germany,"20,399"
1/05/2020,Administration,Internal Labor,Italy,"5,087"
1/05/2020,Administration,Internal Labor,United Kingdom,"23,114"
1/05/2020,Administration,Internal Labor,USA,"126,128"
1/05/2020,Administration,Legal,USA,648
1/05/2020,Administration,Moving,USA,"18,227"
1/05/2020,Administration,Other,USA,669
1/05/2020,Administration,Outbound Allocations,United Kingdom,743
1/05/2020,Administration,Recognition,USA,44
1/05/2020,Administration,Severance,Italy,371
1/05/2020,Administration,Supplies,USA,227
1/05/2020,Administration,Telecomm,Italy,43
1/05/2020,Administration,Training,Germany,533
1/05/2020,Administration,Training,USA,525
1/05/2020,Administration,Travel,USA,"13,643"
1/05/2020,Architecture,Depreciation,USA,693
1/05/2020,Architecture,Hardware,USA,500
1/05/2020,Architecture,Internal Labor,USA,"39,924"
1/05/2020,Architecture,Moving,USA,62
1/05/2020,Architecture,Other,USA,"-1,583"
1/05/2020,Architecture,Taxes,USA,44
1/05/2020,Architecture,Training,USA,420
1/05/2020,Architecture,Travel,USA,"2,399"
1/05/2020,Business Intelligence,Employee Performance,USA,38
1/05/2020,Business Intelligence,External Labor,USA,"29,540"
1/05/2020,Business Intelligence,Hardware,USA,111
1/05/2020,Business Intelligence,Internal Labor,USA,"61,849"
1/05/2020,Business Intelligence,Supplies,USA,107
1/05/2020,Business Intelligence,Travel,USA,134
1/05/2020,Core,External Labor,USA,"4,573"
1/05/2020,Core,Hardware,USA,176
1/05/2020,Core,Internal Labor,USA,"19,502"
1/05/2020,Core,Other,USA,39
1/05/2020,Core,Travel,USA,625
1/05/2020,Core Infrastructure,Amortization,Mexico,"1,393"
1/05/2020,Core Infrastructure,Depreciation,Brazil,"17,711"
1/05/2020,Core Infrastructure,Depreciation,Canada,"5,033"
1/05/2020,Core Infrastructure,Depreciation,Mexico,"4,399"
1/05/2020,Core Infrastructure,Depreciation,New Zealand,"7,577"
1/05/2020,Core Infrastructure,External Labor,Brazil,"19,994"
1/05/2020,Core Infrastructure,External Labor,Canada,"21,036"
1/05/2020,Core Infrastructure,External Labor,Mexico,"35,493"
1/05/2020,Core Infrastructure,External Labor,New Zealand,260
1/05/2020,Core Infrastructure,External Labor,USA,"172,999"
1/05/2020,Core Infrastructure,Hardware,Brazil,"1,253"
1/05/2020,Core Infrastructure,Hardware,Mexico,"19,986"
1/05/2020,Core Infrastructure,Hardware,New Zealand,"30,977"
1/05/2020,Core Infrastructure,Hardware,USA,"5,484"
1/05/2020,Core Infrastructure,Hardware Maintenance,Brazil,"1,394"
1/05/2020,Core Infrastructure,Hardware Maintenance,Mexico,"9,776"
1/05/2020,Core Infrastructure,Internal Labor,Brazil,"3,726"
1/05/2020,Core Infrastructure,Internal Labor,Canada,195
1/05/2020,Core Infrastructure,Internal Labor,Mexico,"3,082"
1/05/2020,Core Infrastructure,Internal Labor,New Zealand,"37,143"
1/05/2020,Core Infrastructure,Internal Labor,Switzerland,"3,063"
1/05/2020,Core Infrastructure,Internal Labor,USA,"44,505"
1/05/2020,Core Infrastructure,Moving,USA,"2,406"
1/05/2020,Core Infrastructure,Other,Brazil,"12,407"
1/05/2020,Core Infrastructure,Other,Mexico,"26,839"
1/05/2020,Core Infrastructure,Other,New Zealand,252
1/05/2020,Core Infrastructure,Other,USA,"2,356"
1/05/2020,Core Infrastructure,Severance,Brazil,713
1/05/2020,Core Infrastructure,Severance,New Zealand,411
1/05/2020,Core Infrastructure,Supplies,Brazil,40
1/05/2020,Core Infrastructure,Supplies,Canada,"2,080"
1/05/2020,Core Infrastructure,Supplies,New Zealand,"2,857"
1/05/2020,Core Infrastructure,Supplies,USA,677
1/05/2020,Core Infrastructure,Taxes,Brazil,250
1/05/2020,Core Infrastructure,Taxes,USA,9
1/05/2020,Core Infrastructure,Telecomm,Brazil,"2,831"
1/05/2020,Core Infrastructure,Telecomm,Canada,"1,834"
1/05/2020,Core Infrastructure,Telecomm,Mexico,"1,809"
1/05/2020,Core Infrastructure,Telecomm,New Zealand,"19,696"
1/05/2020,Core Infrastructure,Telecomm,Switzerland,38
1/05/2020,Core Infrastructure,Training,USA,30
1/05/2020,Core Infrastructure,Travel,Brazil,"1,148"
1/05/2020,Core Infrastructure,Travel,New Zealand,-297
1/05/2020,Core Infrastructure,Travel,Switzerland,874
1/05/2020,Core Infrastructure,Travel,USA,363
1/05/2020,Core Infrastructure,Vehicles,Mexico,8
1/05/2020,Core Infrastructure,Vehicles,New Zealand,70
1/05/2020,Core Infrastructure,Vehicles,Switzerland,120
1/05/2020,Data Centers,Amortization,USA,"1,725"
1/05/2020,Data Centers,Depreciation,Ireland,661
